Ano,Mês,Valor,Estado
1998,Janeiro,,Acre
1998,Fevereiro,,Acre
1998,Março,,Acre
1998,Abril,,Acre
1998,Maio,,Acre
1998,Junho,3.0,Acre
1998,Julho,35.0,Acre
1998,Agosto,131.0,Acre
1998,Setembro,512.0,Acre
1998,Outubro,44.0,Acre
1998,Novembro,,Acre
1998,Dezembro,7.0,Acre
1999,Janeiro,,Acre
1999,Fevereiro,,Acre
1999,Março,,Acre
1999,Abril,,Acre
1999,Maio,,Acre
1999,Junho,,Acre
1999,Julho,1.0,Acre
1999,Agosto,67.0,Acre
1999,Setembro,212.0,Acre
1999,Outubro,63.0,Acre
1999,Novembro,4.0,Acre
1999,Dezembro,,Acre
2000,Janeiro,,Acre
2000,Fevereiro,,Acre
2000,Março,11.0,Acre
2000,Abril,1.0,Acre
2000,Maio,1.0,Acre
2000,Junho,1.0,Acre
2000,Julho,1.0,Acre
2000,Agosto,136.0,Acre
2000,Setembro,261.0,Acre
2000,Outubro,18.0,Acre
2000,Novembro,,Acre
2000,Dezembro,,Acre
2001,Janeiro,,Acre
2001,Fevereiro,,Acre
2001,Março,,Acre
2001,Abril,,Acre
2001,Maio,,Acre
2001,Junho,1.0,Acre
2001,Julho,3.0,Acre
2001,Agosto,399.0,Acre
2001,Setembro,288.0,Acre
2001,Outubro,137.0,Acre
2001,Novembro,1.0,Acre
2001,Dezembro,,Acre
2002,Janeiro,,Acre
2002,Fevereiro,1.0,Acre
2002,Março,,Acre
2002,Abril,,Acre
2002,Maio,,Acre
2002,Junho,,Acre
2002,Julho,59.0,Acre
2002,Agosto,1268.0,Acre
2002,Setembro,4337.0,Acre
2002,Outubro,932.0,Acre
2002,Novembro,139.0,Acre
2002,Dezembro,3.0,Acre
2003,Janeiro,14.0,Acre
2003,Fevereiro,,Acre
2003,Março,,Acre
2003,Abril,5.0,Acre
2003,Maio,18.0,Acre
2003,Junho,18.0,Acre
2003,Julho,427.0,Acre
2003,Agosto,3163.0,Acre
2003,Setembro,5803.0,Acre
2003,Outubro,1041.0,Acre
2003,Novembro,30.0,Acre
2003,Dezembro,4.0,Acre
2004,Janeiro,,Acre
2004,Fevereiro,4.0,Acre
2004,Março,,Acre
2004,Abril,9.0,Acre
2004,Maio,21.0,Acre
2004,Junho,12.0,Acre
2004,Julho,95.0,Acre
2004,Agosto,1003.0,Acre
2004,Setembro,5458.0,Acre
2004,Outubro,633.0,Acre
2004,Novembro,25.0,Acre
2004,Dezembro,11.0,Acre
2005,Janeiro,20.0,Acre
2005,Fevereiro,,Acre
2005,Março,5.0,Acre
2005,Abril,2.0,Acre
2005,Maio,17.0,Acre
2005,Junho,75.0,Acre
2005,Julho,1136.0,Acre
2005,Agosto,7669.0,Acre
2005,Setembro,6092.0,Acre
2005,Outubro,943.0,Acre
2005,Novembro,27.0,Acre
2005,Dezembro,7.0,Acre
2006,Janeiro,7.0,Acre
2006,Fevereiro,1.0,Acre
2006,Março,,Acre
