Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Nome Estacao,Codigo Estacao
2015-05-31,7.0,,,24.9,,CRUZEIRO DO SUL,A108
2015-06-30,12.0,82.4,989.4,25.2,0.9,CRUZEIRO DO SUL,A108
2015-07-31,13.0,80.8,989.0,25.4,0.8,CRUZEIRO DO SUL,A108
2015-08-31,8.0,71.4,987.8,26.4,0.9,CRUZEIRO DO SUL,A108
2015-09-30,17.0,90.6,986.8,26.6,0.9,CRUZEIRO DO SUL,A108
2015-10-31,12.0,130.6,986.8,26.6,1.0,CRUZEIRO DO SUL,A108
2015-11-30,17.0,193.6,985.1,26.6,1.1,CRUZEIRO DO SUL,A108
2015-12-31,23.0,348.0,986.8,25.8,1.0,CRUZEIRO DO SUL,A108
2016-01-31,22.0,286.0,985.6,26.7,0.9,CRUZEIRO DO SUL,A108
2016-02-29,24.0,246.0,986.4,25.9,0.9,CRUZEIRO DO SUL,A108
2016-03-31,28.0,286.0,987.5,26.0,1.0,CRUZEIRO DO SUL,A108
2016-04-30,19.0,176.0,987.0,26.0,0.9,CRUZEIRO DO SUL,A108
2016-05-31,18.0,126.8,989.0,25.5,0.9,CRUZEIRO DO SUL,A108
2016-06-30,13.0,60.8,990.6,24.5,1.1,CRUZEIRO DO SUL,A108
2016-07-31,6.0,32.4,989.2,25.6,0.8,CRUZEIRO DO SUL,A108
2016-08-31,8.0,129.8,988.5,25.9,1.0,CRUZEIRO DO SUL,A108
2016-09-30,10.0,86.4,988.8,25.7,1.0,CRUZEIRO DO SUL,A108
2016-10-31,19.0,199.2,986.0,26.0,1.0,CRUZEIRO DO SUL,A108
2016-11-30,16.0,170.0,984.8,26.3,1.1,CRUZEIRO DO SUL,A108
2016-12-31,21.0,245.4,985.7,25.6,1.1,CRUZEIRO DO SUL,A108
2017-01-31,30.0,414.8,986.7,24.8,1.0,CRUZEIRO DO SUL,A108
2017-02-28,23.0,161.6,986.2,25.3,1.1,CRUZEIRO DO SUL,A108
2017-03-31,21.0,307.6,986.5,25.7,1.0,CRUZEIRO DO SUL,A108
2017-04-30,17.0,,,25.6,,CRUZEIRO DO SUL,A108
2017-05-31,,,,,,CRUZEIRO DO SUL,A108
2017-06-30,,,,,,CRUZEIRO DO SUL,A108
2017-07-31,,,,,,CRUZEIRO DO SUL,A108
2017-08-31,,,,,,CRUZEIRO DO SUL,A108
2017-09-30,12.0,122.0,987.8,25.8,0.8,CRUZEIRO DO SUL,A108
2017-10-31,12.0,212.4,986.2,25.9,1.1,CRUZEIRO DO SUL,A108
2017-11-30,19.0,116.0,984.7,25.9,1.0,CRUZEIRO DO SUL,A108
2017-12-31,23.0,208.0,985.3,25.5,1.0,CRUZEIRO DO SUL,A108
2018-01-31,23.0,267.4,986.0,25.2,1.0,CRUZEIRO DO SUL,A108
2018-02-28,17.0,,985.6,25.6,0.9,CRUZEIRO DO SUL,A108
2018-03-31,24.0,235.4,986.2,25.3,0.9,CRUZEIRO DO SUL,A108
